price_total,location,property_type,square_meters,construction_type,construction_year,floor_number,floor_type
139000,"Славия, София",Двустаен апартамент в София,50 кв.м,Тухла,1949 г.,2 етаж,Първи жилищен
195000,"Банишора, София",Двустаен апартамент в София,65 кв.м,Тухла,2020 г.,5 етаж,Непоследен
169370,"Овча Купел, София",Двустаен апартамент в София,66 кв.м,Тухла,2025 г.,4 етаж,Непоследен
145000,"Люлин 2, София",Двустаен апартамент в София,79 кв.м,Тухла,2022 г.,9 етаж,Непоследен
111200,"Малинова Долина, София",Двустаен апартамент в София,66 кв.м,Тухла,2028 г.,2 етаж,Непоследен
195000,"Банишора, София",Двустаен апартамент в София,65 кв.м,Тухла,2020 г.,5 етаж,Непоследен
185000,"Манастирски Ливади, София",Двустаен апартамент в София,92.75 кв.м,Тухла,2023 г.,2 етаж,Непоследен
114700,"Люлин 5, София",Двустаен апартамент в София,74 кв.м,Тухла,2027 г.,Not Available,Непоследен
169000,"Малинова Долина, София",Двустаен апартамент в София,75 кв.м,Тухла,2025 г.,1 етаж,Партер
349900,"Витоша, София",Многостаен апартамент в София,169 кв.м,Тухла,1996 г.,2 етаж,Непоследен
111100,"Люлин 5, София",Двустаен апартамент в София,71 кв.м,Тухла,2027 г.,Not Available,Непоследен
150253,"Левски, София",Двустаен апартамент в София,76 кв.м,Тухла,2025 г.,Not Available,Непоследен
349990,"Оборище, София",Многостаен апартамент в София,120 кв.м,Тухла,1960 г.,3 етаж,Непоследен
349990,"Оборище, София",Многостаен апартамент в София,120 кв.м,Тухла,1960 г.,3 етаж,Непоследен
400000,"Център, София",Тристаен апартамент в София,70 кв.м,Тухла,1940 г.,3 етаж,Последен етаж
199998,"Манастирски Ливади, София",Двустаен апартамент в София,53 кв.м,Тухла,2009 г.,4 етаж,Непоследен
349990,"Център, София",Многостаен апартамент в София,120 кв.м,Тухла,1960 г.,3 етаж,Непоследен
330000,"Манастирски Ливади, София",Многостаен апартамент в София,153 кв.м,Тухла,2025 г.,3 етаж,Непоследен
349990,"Център, София",Тристаен апартамент в София,120 кв.м,Тухла,1960 г.,3 етаж,Непоследен
258888,"Център, София",Двустаен апартамент в София,67 кв.м,Тухла,1940 г.,4 етаж,Непоследен
1300,"Гоце Делчев, София",Двустаен апартамент в София,60 кв.м,Панел,1980 г.,8 етаж,Последен етаж
129909,"Овча Купел, София",Двустаен апартамент в София,64 кв.м,Тухла,2026 г.,2 етаж,Непоследен
110000,"Банишора, София",Двустаен апартамент в София,40 кв.м,ЕПК/ПК,1980 г.,5 етаж,Непоследен
173400,"Сердика, София",Двустаен апартамент в София,60 кв.м,Тухла,2024 г.,6 етаж,Непоследен
134340,"Малинова Долина, София",Двустаен апартамент в София,68 кв.м,Тухла,2025 г.,4 етаж,Непоследен
118988,"Дружба 1, София",Едностаен апартамент в София,51 кв.м,Тухла,2026 г.,3 етаж,Непоследен
145000,"Надежда 3, София",Двустаен апартамент в София,77 кв.м,Тухла,2025 г.,6 етаж,Последен етаж
1450000,"Витоша, София",Мезонет,531 кв.м,Тухла,Not Available,11 етаж,Not Available
591875,"Драгалевци, София",Многостаен апартамент в София,263.75 кв.м,Тухла,Not Available,2 етаж,Not Available
247815,"Младост 4, София",Тристаен апартамент в София,110.14 кв.м,Тухла,Not Available,9 етаж,Not Available
473069,"Младост 4, София",Мезонет,174.9 кв.м,Тухла,Not Available,9 етаж,Not Available
233595,"Младост 4, София",Тристаен апартамент в София,103.82 кв.м,Тухла,Not Available,2 етаж,Not Available
272340,"Младост 4, София",Тристаен апартамент в София,121.04 кв.м,Тухла,Not Available,3 етаж,Not Available
253508,"Младост 4, София",Тристаен апартамент в София,112.67 кв.м,Тухла,Not Available,7 етаж,Not Available
230535,"Младост 4, София",Тристаен апартамент в София,102.46 кв.м,Тухла,Not Available,4 етаж,Not Available
224415,"Младост 4, София",Тристаен апартамент в София,99.74 кв.м,Тухла,Not Available,4 етаж,Not Available
1200000,"Бояна, София",Многостаен апартамент в София,363 кв.м,Тухла,Not Available,4 етаж,Not Available
187088,"Младост 4, София",Тристаен апартамент в София,83.15 кв.м,Тухла,Not Available,9 етаж,Not Available
290000,"Хладилника, София",Двустаен апартамент в София,71 кв.м,Тухла,Not Available,3 етаж,Not Available
1200000,"Бояна, София",Мезонет,363 кв.м,Тухла,Not Available,4 етаж,Not Available
216000,"Малинова Долина, София",Двустаен апартамент в София,64.99 кв.м,Тухла,Not Available,1 етаж,Not Available
498000,"Център, София",Многостаен апартамент в София,160 кв.м,Тухла,Not Available,3 етаж,Not Available
196000,"Люлин 10, София",Тристаен апартамент в София,112.14 кв.м,Тухла,Not Available,3 етаж,Not Available
142000,"Люлин 10, София",Двустаен апартамент в София,80.5 кв.м,Тухла,Not Available,2 етаж,Not Available
126000,"Люлин 10, София",Двустаен апартамент в София,72 кв.м,Тухла,Not Available,2 етаж,Not Available
364250,"Витоша, София",Тристаен апартамент в София,169.15 кв.м,Тухла,Not Available,7 етаж,Not Available
290000,"Лозенец, София",Двустаен апартамент в София,72 кв.м,Тухла,Not Available,3 етаж,Not Available
330000,"Кръстова Вада, София",Тристаен апартамент в София,192.54 кв.м,Тухла,Not Available,6 етаж,Not Available
350000,"Овча Купел 2, София",Многостаен апартамент в София,239.81 кв.м,Тухла,Not Available,Not Available,Not Available
240000,"Овча Купел 2, София",Многостаен апартамент в София,148.5 кв.м,Тухла,Not Available,2 етаж,Not Available
428340,"Драгалевци, София",Тристаен апартамент в София,155.76 кв.м,Тухла,Not Available,3 етаж,Not Available
389000,"Център, София",Тристаен апартамент в София,109 кв.м,Тухла,Not Available,3 етаж,Not Available
225000,"Овча Купел 2, София",Тристаен апартамент в София,156.25 кв.м,Тухла,Not Available,7 етаж,Not Available
184023,"Красно Село, София",Двустаен апартамент в София,74.01 кв.м,Тухла,Not Available,5 етаж,Not Available
