price_total,location,property_type,square_meters,construction_type,construction_year,floor_number,floor_type
169370.0,Овча Купел,Двустаен,66.0,Тухла,2025.0,4.0,Непоследен
145000.0,Люлин 2,Двустаен,79.0,Тухла,2022.0,9.0,Непоследен
111200.0,Малинова Долина,Двустаен,66.0,Тухла,2028.0,2.0,Непоследен
195000.0,Банишора,Двустаен,65.0,Тухла,2020.0,5.0,Непоследен
185000.0,Манастирски Ливади,Двустаен,9275.0,Тухла,2023.0,2.0,Непоследен
114700.0,Люлин 5,Двустаен,74.0,Тухла,2027.0,,Непоследен
169000.0,Малинова Долина,Двустаен,75.0,Тухла,2025.0,1.0,Партер
349900.0,Витоша,Многостаен,169.0,Тухла,1996.0,2.0,Непоследен
111100.0,Люлин 5,Двустаен,71.0,Тухла,2027.0,,Непоследен
150253.0,Левски,Двустаен,76.0,Тухла,2025.0,,Непоследен
349990.0,Оборище,Многостаен,120.0,Тухла,1960.0,3.0,Непоследен
349990.0,Оборище,Многостаен,120.0,Тухла,1960.0,3.0,Непоследен
400000.0,Център,Тристаен,70.0,Тухла,1940.0,3.0,Последен етаж
199998.0,Манастирски Ливади,Двустаен,53.0,Тухла,2009.0,4.0,Непоследен
349990.0,Център,Многостаен,120.0,Тухла,1960.0,3.0,Непоследен
330000.0,Манастирски Ливади,Многостаен,153.0,Тухла,2025.0,3.0,Непоследен
349990.0,Център,Тристаен,120.0,Тухла,1960.0,3.0,Непоследен
258888.0,Център,Двустаен,67.0,Тухла,1940.0,4.0,Непоследен
1300.0,Гоце Делчев,Двустаен,60.0,Панел,1980.0,8.0,Последен етаж
129909.0,Овча Купел,Двустаен,64.0,Тухла,2026.0,2.0,Непоследен
110000.0,Банишора,Двустаен,40.0,ЕПК/ПК,1980.0,5.0,Непоследен
173400.0,Сердика,Двустаен,60.0,Тухла,2024.0,6.0,Непоследен
134340.0,Малинова Долина,Двустаен,68.0,Тухла,2025.0,4.0,Непоследен
118988.0,Дружба 1,Едностаен,51.0,Тухла,2026.0,3.0,Непоследен
145000.0,Надежда 3,Двустаен,77.0,Тухла,2025.0,6.0,Последен етаж
591875.0,Драгалевци,Многостаен,26375.0,Тухла,,2.0,
247815.0,Младост 4,Тристаен,11014.0,Тухла,,9.0,
473069.0,Младост 4,Мезонет,1749.0,Тухла,,9.0,
233595.0,Младост 4,Тристаен,10382.0,Тухла,,2.0,
272340.0,Младост 4,Тристаен,12104.0,Тухла,,3.0,
253508.0,Младост 4,Тристаен,11267.0,Тухла,,7.0,
230535.0,Младост 4,Тристаен,10246.0,Тухла,,4.0,
224415.0,Младост 4,Тристаен,9974.0,Тухла,,4.0,
187088.0,Младост 4,Тристаен,8315.0,Тухла,,9.0,
290000.0,Хладилника,Двустаен,71.0,Тухла,,3.0,
216000.0,Малинова Долина,Двустаен,6499.0,Тухла,,1.0,
498000.0,Център,Многостаен,160.0,Тухла,,3.0,
196000.0,Люлин 10,Тристаен,11214.0,Тухла,,3.0,
142000.0,Люлин 10,Двустаен,805.0,Тухла,,2.0,
126000.0,Люлин 10,Двустаен,72.0,Тухла,,2.0,
364250.0,Витоша,Тристаен,16915.0,Тухла,,7.0,
290000.0,Лозенец,Двустаен,72.0,Тухла,,3.0,
330000.0,Кръстова Вада,Тристаен,19254.0,Тухла,,6.0,
350000.0,Овча Купел 2,Многостаен,23981.0,Тухла,,,
240000.0,Овча Купел 2,Многостаен,1485.0,Тухла,,2.0,
428340.0,Драгалевци,Тристаен,15576.0,Тухла,,3.0,
389000.0,Център,Тристаен,109.0,Тухла,,3.0,
225000.0,Овча Купел 2,Тристаен,15625.0,Тухла,,7.0,
184023.0,Красно Село,Двустаен,7401.0,Тухла,,5.0,
345500.0,Кръстова Вада,Тристаен,11523.0,Тухла,,3.0,
317000.0,Кръстова Вада,Тристаен,11969.0,Тухла,,3.0,
339900.0,Дружба 2,Тристаен,111.0,Тухла,,16.0,
173737.0,Овча Купел,Тристаен,114.0,Тухла,2024.0,4.0,Последен етаж
125737.0,Бояна,Двустаен,63.0,Тухла,2024.0,1.0,Партер
75000.0,София,Ателие/Студио,30.0,Тухла,1990.0,,Партер
182500.0,Дружба 1,Двустаен,7585.0,Тухла,2025.0,4.0,Непоследен
180000.0,Слатина,Двустаен,70.0,Тухла,2003.0,4.0,Непоследен
139000.0,Дружба 1,Двустаен,45.0,ЕПК/ПК,1986.0,9.0,Непоследен
155000.0,Малинова Долина,Едностаен,60.0,Тухла,2022.0,1.0,Партер
161000.0,Левски В,Двустаен,95.0,Тухла,2025.0,1.0,Партер
